"Termino","Area","Descripcion_Termino"
"""Carta de crédito""","""Finanzas""","""Es un compromiso de un banco a nombre de un comprador (cliente importador, en nuestro caso Empresas Socovesa) de pagar al vendedor (beneficiario exportador) una cantidad acordada a cambio de que el vendedor entregue los documentos y mercancías requeridas en una fecha determinada (por ejemplo ascensores)."""
"""Carta de resguardo""","""Finanzas""","""Documento escrito, que consiste en la obligación que asume un banco que otorga el crédito a un cliente, de cancelar la totalidad de la deuda que esta tiene en otra institución acreedora."""
"""Compañía de Seguros""","""Finanzas""","""Es una empresa que se encarga de asegurar riesgos a terceros, de tal manera que protege o resguarda los bienes materiales de los riesgos a los que estos están expuestos."""
"""Compensación""","""Finanzas""","""Es un excedente recibido, dado que en los instrumentos financieros tomados (forward o swaps) sobre el vencimiento de un crédito tuvieron saldo a favor para nosotros."""
"""Corredor de Seguros""","""Finanzas""","""Experto en seguros, con cuya experiencia permite que se desempeñe como el Intermediador entre el cliente y las compañías de seguros. Muchas veces prestan servicios personalizados a sus contratantes."""
"""Costear/ Cerrar un proyecto""","""Finanzas""","""Asignar costo a las unidades de los proyectos terminados."""
"""Depósito a Plazo""","""Finanzas""","""es un producto de inversión de renta fija y bajo riesgo, ya que, desde un principio, conocerás cuál será tu ganancia de acuerdo al monto que inviertas y el plazo que elijas, pueden ser en pesos, UF o dólares. Se utiliza normalmente en las compras de terrenos."""
"""Desistimiento de cobro""","""Finanzas""","""En el caso de las garantías, corresponde a desistir del cobro de estas, las cuales ya habían sido presentadas a cobro en la institución financiera."""
"""Escritura de Alzamiento""","""Finanzas""","""Documento que comprueba que el inmueble o terreno se encuentra libre de cualquier deuda u obligación."""
"""Estudio de títulos""","""Finanzas""","""Evaluación que realiza un abogado de todos los antecedentes legales de una propiedad o terreno que es objeto de venta o que se recibiría por parte de un banco como hipoteca."""
"""Flujo Largo de Caja""","""Finanzas""","""Corresponde al Saldo de Caja proyectado a dos o tres años."""
"""Fondos Mutuos""","""Finanzas""","""Instrumento financiero en el cual invertimos los excedentes diarios, es de bajo riesgo y es utilizado comúnmente en Socovesa para mantener liquidez rápida entre los bancos de una misma empresa mediante los rescates."""
"""Forward""","""Finanzas""","""instrumento financiero utilizado para fijar el tipo de cambio futuro."""
"""Glosa boleta garantía""","""Finanzas""","""Es donde se debe señalar la caución (motivo) para lo cual se está solicitando la boleta de garantía."""
"""GP""","""Finanzas""","""Certificado que indica si una propiedad tiene gravámenes como hipotecas, usufructos, servidumbres y prohibiciones para vender."""
"""Hipoteca""","""Finanzas""","""Garantía que se deja a una institución financiera para asegurar el cumplimiento de una obligación."""
"""IMACEC""","""Finanzas""","""El Índice Mensual de Actividad Económica, es una estimación que resume la actividad de los distintos sectores de la economía en un determinado mes, a precios del año anterior; su variación interanual constituye una aproximación de la evolución del PIB."""
"""Índices Inmobiliarios""","""Finanzas""","""Principales Índices relacionados a la industria (Venta, Recuperaciones, Stock, Meses para Agotar Stock, etc) los cuales tienen carácter estratégico."""
"""Inflación""","""Finanzas""","""Aumento generalizado y sostenido de los precios de los bienes y servicios existentes en el mercado durante un período de tiempo."""
"""Lanzamiento""","""Finanzas""","""Hito en el que un proyecto comienza la venta."""
"""Leasing operativo""","""Finanzas""","""Es un arrendamiento de vehículos por el plazo de 12 meses o más. En la cuota mensual se incluyen los servicios de mantenimiento, averías, cambio de neumáticos, pagos de impuestos y de seguros, etc. Sirve para mantener una flota sin tener las preocupaciones de trámites legales, administración de documentos, entre otros."""
"""Liquidación de crédito""","""Finanzas""","""Documento financiero en el cual se especifican los datos de un crédito hipotecario (la forma y día de pago, datos del deudor, datos del beneficiario, monto de la operación, etc)."""
"""Liquidador de Seguros""","""Finanzas""","""Empresas nombradas por las compañías de seguros para determinar la procedencia de la cobertura y monto de los daños en función de las condiciones de las pólizas."""
"""Márgenes Promesados""","""Finanzas""","""Porcentaje estimado de ganancia que se genera por la venta de una unidad, específicamente al momento de firmar la promesa de compraventa."""
"""Novación""","""Finanzas""","""Es cuando uno o varios créditos adquiridos en un banco son portadas a otro constituyendo un nuevo crédito y evitando el pago de impuesto de timbres nuevamente."""
"""Pactos Financieros""","""Finanzas""","""Es una operación de compraventa al contado de instrumentos financieros, realizada en forma conjunta y simultánea con una compraventa a plazo sobre los mismos o sobre otros instrumentos equivalentes, que las partes hayan acordado como sustitutos de los primeros, es utilizado comúnmente en Socovesa para mantener liquidez rápida entre los bancos de una misma empresa mediante los rescates."""
"""Pagaré""","""Finanzas""","""documento mediante el cual adquirimos una obligación con un banco. Se utiliza como respaldo de un crédito."""
"""PIB""","""Finanzas""","""El Producto Interno Bruto es una medida del valor de la actividad económica de un país. Básicamente calcula cuál fue la producción en bienes y servicios que se hizo en un periodo de tiempo específico."""
"""Póliza de Seguro""","""Finanzas""","""Es un contrato entre un contratante y una compañía de seguros, que establece los derechos y obligaciones de ambos, en relación al seguro contratado."""
"""Póliza de Urbanización""","""Finanzas""","""Es un documento financiero que emiten las compañías de seguros, para cubrir al beneficiario de las pérdidas en dinero que cause el incumplimiento de la obligación por parte del contratista (quien toma la póliza)."""
"""Real Proyectado (RP)""","""Finanzas""","""Informe que muestra costos y gastos reales de las obras y proyecta los mismos al término de su construcción."""
"""Recepción Municipal (RM)""","""Finanzas""","""Es el trámite mediante el cual se recibe una obra de construcción con el fin de autorizar su uso."""
"""Redenominación""","""Finanzas""","""Es cuando un crédito cambia de moneda pasando por ejemplo de UF a pesos."""
"""Renovación""","""Finanzas""","""es cuando pagamos intereses por un crédito adquirido y pactamos un nuevo vencimiento. Este pago de intereses no reduce el saldo capital del crédito. En esta figura se mantiene la moneda, el banco y el saldo capital, lo único que cambia es el interés que ofrece el banco a un plazo determinado."""
"""Reparos""","""Finanzas""","""Antecedentes pendientes en un estudio de títulos."""
"""Saldo Caja""","""Finanzas""","""Es el saldo con el cual contamos como disponible, previo descuento de las obligaciones que debemos cubrir durante el día (pago proveedores, subcontratos, cheques, remuneraciones, impuestos, intereses, entre otras) y descontando previamente las inversiones"""
"""Seguro de AP""","""Finanzas""","""El seguro de Accidentes Personales es una protección para el asegurado y su entorno, en caso de accidente. La persona que contrata este tipo de seguro es indemnizado en caso de incapacidad total y permanente o, incluso, fallecimiento."""
"""Seguro de Equipos Móviles""","""Finanzas""","""Póliza que cubre todos los riesgos de un equipo móvil (tractor, bobcat, grúa, grupo electrógeno, etc)."""
"""Seguro de garantía de Venta en Verde""","""Finanzas""","""Permite a los futuros compradores de inmuebles en construcción, tener la seguridad de que en el caso que la inmobiliaria o constructora no cumpla con sus obligaciones, la Compañía le devolverá los dineros que hubiesen entregado a modo de anticipo."""
"""Seguro de Incendio""","""Finanzas""","""Esta póliza cubre todos los riesgos de un proyecto (o bien raíz) terminado (después de la RM)."""
"""Seguro de RC""","""Finanzas""","""El seguro de Responsabilidad Civil protege al asegurado en caso de ser declarado responsable por haber causado daños a un tercero, ya sea a la persona o a sus bienes. Este seguro entraría a operar en el evento en que el asegurado deba reparar el daño causado."""
"""Seguro TRC""","""Finanzas""","""Seguro de Todo Riesgo Construcción. Esta póliza cubre todos los riesgos presentes durante la construcción de una obra (hasta la RM)."""
"""Seguros de Vehículos""","""Finanzas""","""Póliza que cubre todos los riesgos de un vehículo (camioneta, camión, furgón)."""
"""Set de finanzas""","""Finanzas""","""Conjunto de informes que se envían a las filiales para su presentación en el directorio."""
"""Swaps""","""Finanzas""","""Instrumento financiero utilizado para el intercambio de flujos de pago en el futuro."""
"""TAB""","""Finanzas""","""Tasas activas bancarias (TAB), que buscan reflejar el costo de fondos de las instituciones financieras."""
"""Tasación""","""Finanzas""","""Es el informe de valorización de un inmueble realizado bajo requisitos marcados por ley. El fin de la tasación hipotecaria es servir de garantía para el préstamo Hipotecario."""
"""TPM""","""Finanzas""","""Es la tasa que ocupa el Banco Central de Chile como instrumento para llevar a cabo la Política Monetaria. En la actualidad, el objetivo de la Política Monetaria es mantener la inflación estable con un valor meta de 3% y rango de variación entre 2% y 4%, en un horizonte de 24 meses."""
"""Vale vista""","""Finanzas""","""se trata de un documento del banco que representa la existencia de dinero en efectivo; este se emite bajo órdenes de las instituciones financieras por cuenta de los clientes. Se utiliza normalmente en las compras de terrenos."""
"""Vencimiento de Intereses""","""Finanzas""","""fecha en la cual debemos cancelar los intereses de un crédito que están determinados por un plazo, una tasa y un saldo de capital."""
"""Aprobación Bancaria""","""Finanzas""","""Respuesta del banco a solicitud de cliente por instrumento financiero (crédito) que el banco desea destinar a sus clientes que cuentan con buen historial y capacidad de pago. El cliente debe presentar documentos que acrediten sus condiciones."""
"""Banco Alzante""","""Finanzas""","""Entidad que financia construcción de un proyecto para la venta o que tiene una garantía hipotecaria sobre las propiedades. """
"""Borrador""","""Finanzas""","""ver Compraventa"""
"""Cambio Oferente""","""Finanzas""","""Cambio de titular de promesa de compraventa."""
"""Carta Pie""","""Finanzas""","""Documento con el detalle de lo pagado por el cliente a la Inmobiliaria que se le entrega al banco que financiará la compra y a solicitud de la institución."""
"""Carta Resguardo""","""Finanzas""","""documento que consiste en la obligación que asume un banco que otorga el crédito a un cliente, de cancelar la totalidad de la deuda que esta tiene en otra institución acreedora."""
"""Cesión de derechos""","""Finanzas""","""decisión que toma un propietario sobre sus bienes con el objetivo de transferir un derecho a otra persona quien será el nuevo poseedor. Normalmente se refiere a la acción que se hace cuando hay cambio de oferente en la promesa de compraventa."""
"""Cierre de Condiciones""","""Finanzas""","""Cuando se definen las condiciones específicas (monto, tasa, plazo, porcentaje de financiamiento, etc.) del crédito que otorga el banco para aceptación del cliente y previo a la confección de borrador."""
"""Codeudor""","""Finanzas""","""Es quien comparte una deuda con otra persona en igualdad de condiciones, por lo que el acreedor podrá cobrar directamente al deudor principal o a quien solidarizó"""
"""Compraventa, Escritura de Compraventa o Borrador de Escritura""","""Comercial""","""Documento de vital importancia a la hora de adquirir un bien raíz, ya que establece jurídicamente las obligaciones y los derechos de la persona que adquiere una vivienda o un terreno."""
"""Conservador de Bienes y Raíces o CBR""","""Finanzas""","""Los Conservadores de Bienes Raíces son ministros de fe encargados de los registros conservatorios de bienes raíces cuyo objeto principal es mantener la historia de la propiedad inmueble y otorgar una completa publicidad a los gravámenes que pueden afectar a los bienes raíces."""
"""Copia Maestra""","""Finanzas""","""Copia de la compraventa con al menos la firma de una de las partes."""
"""Copropiedad""","""Finanzas""","""Reglamento, Planos, Certificado"""
"""Cotitular""","""Finanzas""","""es responsable de la deuda de igual forma que lo es el titular del préstamo, y debe responder ante el préstamo con su dinero o sus propiedades."""
"""Crédito Hipotecario""","""Finanzas""","""herramienta que Institución Financiera proporciona, con la finalidad de entregar financiamiento para la compra de un inmueble, sea este nuevo o usado."""
"""Curse""","""Finanzas""","""cuando la operación se encuentra aprobada y cumple los requisitos para la elaboración del borrador de compraventa por el banco."""
"""Declaración Personal de Salud o DPS""","""Finanzas""","""Manifestación del asegurado en la propuesta o solicitud de seguro, de su condición y estado de salud y enfermedades preexistentes, para que la Compañía de Seguros decida sobre la aceptación y tarificación del riesgo."""
"""Desistimiento""","""Finanzas""","""dejar sin efecto el contrato celebrado, notificándose a la otra parte. Normalmente se refiere al no cumplimiento de la promesa de compraventa. """
"""Estado Resultados  EERR""","""Finanzas""","""resultado de negocios en un plazo determinado"""
"""Instrucciones Notariales""","""Finanzas""","""documento legal en la cual se indica al Notario que guarde custodia de algún documento. Estos documentos son generalmente cheques, vale vista o depósito a plazo, y el Notario los resguarda hasta que se cumplan ciertas condiciones. """
"""Leasing habitacional""","""Finanzas""","""se conoce como “arriendo con compromiso de compra”, donde se establece un contrato que permite hacer uso exclusivo de la vivienda hasta pagar la última cuota, que funciona como un dividendo. Una vez cumplido el plazo, el deudor pasa a ser propietario."""
"""Post Venta""","""Finanzas""","""El Servicio Post-Venta es la acción de seguir prestando servicio al cliente, es decir, tras realizar la venta al cliente, hay que seguir manteniendo una relación con dicho cliente, y, es de máxima importancia al igual que el proceso anterior a la venta."""
"""Preaprobación bancaria""","""Finanzas""","""Evaluación que da el banco a clientes que cuentan con buen historial y capacidad de pago, sin revisión de documentos, donde se define que dados los datos entregados por el cliente se le otorgaría un crédito hipotecario según las condiciones definidas (monto, % de financiamiento y plazo)."""
"""Promesa de Compraventa""","""Comercial""","""contrato que se hace entre un comprador y un vendedor de una propiedad antes de firmar la escritura de compraventa."""
"""Propiedad en parte de pago""","""Comercial""","""propiedad usada que se entrega a la Inmobiliaria cuyo diferencial entre el precio y la deuda (si la hubiera) formará parte del pie de la compra de la propiedad nueva."""
"""Seguro desgravamen""","""Finanzas""","""es aquel que permite, en caso de muerte del deudor, extinguir o eliminar la deuda pendiente con el acreedor (banco). Su contratación por ley es obligatoria para las personas que adquieren un crédito hipotecario."""
"""Titular""","""Finanzas""","""sujeto que puede ejercer, promover y exigir un derecho hipotecario"""
"""Visado""","""Finanzas""","""etapa de revisión de documentos en el banco previo etapa de curse."""
"""Agile-Agilidad""","""Sistemas TI""","""Termino en Desarrollo de Software que representa principios y valores que guían el desarrollo de soluciones agiles. Entre los valores /4) están: Individuos e interacciones sobre procesos y herramientas, Software que funcione sobre documentación exhaustiva, Colaboración con el cliente sobre contratos, Responder al cambio sobre el seguimiento de un plan. Entre los principios (12): Satisfacción al cliente, Bienvenidos los cambios, Entrega de Producto frecuente, Colaboración continua, Equipo motivados, Comunicación cara a cara, Avence en función de software funcionando, Promover un ritmo sostenido, Excelencia, Simplicidad, Equipos auto-organizados , Mejora continua"""
"""Dueño de Datos (Data Owner)""","""Gobierno de Datos""","""El último responsable de la información asociada los datos."""
"""Gobernanza de Datos (Data Governance)""","""Gobierno de Datos""","""Formulación de políticas para optimizar, asegurar y aprovechar la información como un activo de la empresa, alineando objetivos de múltiples funciones."""
"""Custodio de Datos (Data Steward)""","""Gobierno de Datos""","""Responsable de ejecutar políticas, criterios y procesos en los ámbitos de datos que le han sido asignados, basándose en la estrategia y políticas del gobierno de datos."""
"""Custodio Técnico de Datos (Technical Data Steward)""","""Gobierno de Datos""","""Proporciona experiencia técnica relacionada a los sistemas, procesos de extracción, transformación y carga (ETL), almacenes de datos y herramientas de inteligencia comercial."""
"""Política de Datos (Data Policy)""","""Gobierno de Datos""","""Instrumento que proporciona reglas, principios y pautas a modo de marco para la toma de decisiones relacionadas con el dato dentro de la empresa."""
"""Repositorio de Datos (Data Repository)""","""Gobierno de Datos""","""Base de datos, aplicación u otra ubicación donde los datos son almacenados electrónicamente."""
"""Arquitectura de Datos (Data Architecture)""","""Gobierno de Datos""","""Corresponde a un marco de cómo la infraestructura de TI respalda su estrategia de datos. Tiene como objetivo visualizar cómo se adquieren, transportan, almacenan, consultan y protegen los datos."""
"""Metadato (Metadata)""","""Gobierno de Datos""","""Información que describe las características de un dato, tales como nombre, ubicación, nivel de criticidad, calidad, reglas del negocio y relación con otros datos."""
"""Base de Datos (Database)""","""Gobierno de Datos""","""Conjunto de datos almacenados y estructurados según sus características o tipología para ser utilizados o consultados con posterioridad."""
"""Respaldo de Seguridad (Backup)""","""Gobierno de Datos""","""Corresponde a una copia de los datos originales, que se realiza con el fin de disponer de un medio para recuperarlos en caso de su pérdida."""
"""Dato (Data)""","""Gobierno de Datos""","""Un dato es una representación simbólica de distinto tipo (numérica, de texto, espacial, etc.) de un atributo o variable cuantitativa o cualitativa. Los datos describen hechos empíricos, sucesos o entidades."""
"""COBIT""","""Gobierno de Datos""","""COBIT (Control Objetives for Information and Related Technology) es un marco de trabajo para el gobierno y la gestión de las tecnologías de la información empresariales y dirigido a toda la empresa."""
"""Modelado de Datos (Data Modeling)""","""Gobierno de Datos""","""Es el proceso de crear una representación visual de un sistema de información completo o partes de él para comunicar conexiones entre puntos de datos y estructuras. Su objetivo es ilustrar los tipos de datos utilizados y almacenados dentro del sistema, las relaciones entre estos tipos de datos, las formas en que se pueden agrupar y organizar los datos y sus formatos y atributos."""
"""Seguridad de Datos (Data Security)""","""Gobierno de Datos""","""Proceso de protección de datos corporativos y prevención de la pérdida de datos por fuerzas destructivas, accesos no autorizados y otras acciones no deseadas (ej: ataque cibernético)."""
"""Integración de Datos (Data Integration)""","""Gobierno de Datos""","""Proceso que implica la combinación de datos de múltiples fuentes en un solo conjunto de datos con el objetivo de proporcionar a los usuarios, acceso y entregas consistentes de datos en todo el espectro de temas y tipos de estructuras, y para satisfacer distintas necesidades de información."""
"""Lago de Datos (Data Lake)""","""Gobierno de Datos""","""Es un repositorio centralizado que permite almacenar, compartir, gobernar y descubrir grandes cantidades de datos estructurados y no estructurados de una organización a cualquier escala. Es el lugar en el que se vuelcan los datos en bruto."""
"""Silo de Datos (Data Silo)""","""Gobierno de Datos""","""Es un repositorio independiente que aloja los datos de un determinado departamento o sección de una organización con un propósito específico. Cada uno con diferentes políticas o tecnologías. Generalmente ocurren cuando no existe un lugar o un sistema centralizado en el que almacenar todos los datos de la organización. """
"""Almacén de Datos (Data Warehouse)""","""Gobierno de Datos""","""Sistema que agrega y combina información de diferentes fuentes en un repositorio de datos único y centralizado; consistente para respaldar el análisis empresarial, la minería de datos, inteligencia artificial y aprendizaje automático. No solo incluye datos, sino herramientas, procedimientos, capacitaciones y otras facilidades que facilitan el acceso a los datos para aquellos que toman decisiones."""
"""Nube (Cloud)""","""Gobierno de Datos""","""Es el uso de una red de servidores remotos conectados a internet para almacenar, administrar y procesar datos, servidores, bases de datos, redes y software. Corresponde a una estructura donde el software y el hardware están virtualmente integrados, y no hay dependencia de un servicio físico instalado."""
"""SQL""","""Gobierno de Datos""","""SQL (Structured Query Language) es un lenguaje gestor para el manejo de la información en las bases de datos relacionales. Este tipo de lenguaje de programación permite comunicarse con la base de datos y realizar operaciones de acceso y manipulación de la información almacenada."""
"""NoSQL""","""Gobierno de Datos""","""Sistema de gestión de base de datos que no utiliza SQL como lenguaje de consulta principal. Las bases de datos NoSQL (“no solo SQL”) incluyen categorías como almacenes de valores clave. Estas bases de datos están optimizadas para operaciones de lectura y escritura altamente escalables en lugar de por coherencia."""
"""Perfilamiento de Datos (Data Profiling)""","""Gobierno de Datos""","""Es el proceso de examinar los datos disponibles de una fuente de información existente, con el fin de identificar problemas y evaluar si se cumplen las condiciones mínimas para que esta información sea útil; o recopilar estadísticas o resúmenes informativos sobre esos datos."""
"""Inteligencia Artificial (Artificial Intelligence)""","""Gobierno de Datos""","""Tecnología mediante la cual podemos crear sistemas inteligentes que pueden simular la inteligencia humana."""
"""Aprendizaje Automático (Machine Learning)""","""Gobierno de Datos""","""Subcampo de la inteligencia artificial que permite que las máquinas aprendan de datos o experiencias pasadas sin ser programadas explícitamente."""
"""Minería de datos (Data Mining)""","""Gobierno de Datos""","""Es el proceso de analizar grandes cantidades de datos para encontrar tendencias y patrones. Permite convertir datos sin procesar y estructurar en información comprensible sobre y para el negocio.  
"""
"""Datos masivos/ Macrodatos (Big Data)""","""Gobierno de Datos""","""Hace referencia a conjuntos de datos de gran volumen y complejidad que precisan de aplicaciones informáticas no tradicionales de procesamiento de datos para tratarlos adecuadamente."""
"""DAMA (Data Managment Association)""","""Gobierno de Datos""","""Asociación de Gestión de Datos es una organización mundial que promueve el entendimiento, desarrollo y prácticas relacionadas con la gestión de datos e información para soportar estrategias de negocio.
"""
"""Inteligencia de Negocios (Business Intelligence) ""","""Gobierno de Datos""","""Conjunto de estrategias, aplicaciones, datos, productos, tecnologías y arquitectura técnicas enfocados en la administración y creación de conocimiento, a través del análisis de los datos existentes en una organización o empresa."""
"""Almacenamiento de Datos (Data Storage)""","""Gobierno de Datos""","""Conjunto de especificaciones que sirven para definir cómo, cuándo y qué información se almacena."""
"""Calidad del Dato (Data quality)""","""Gobierno de Datos""","""Mide hasta qué nivel los datos cumplen el propósito esperado, considerando que el objetivo principal de recopilar datos es tener información útil y confiable para la toma de decisiones."""
"""Linaje del Dato (Data Lineage) ""","""Gobierno de Datos""","""Corresponde al historial de los datos a lo largo de su existencia dentro de una organización. Describe el origen, características y calidad de los datos. Podría decirse que el linaje de los datos describe típicamente dónde comienza cada dato y cómo se transforma hasta lograr resultados en diferentes proyectos empresariales."""
"""Transmisión de Datos (Data Streaming)""","""Gobierno de Datos""","""Corresponde al proceso de transmisión de un flujo continuo de datos (también conocidos como flujos) que generalmente se introducen en el software de procesamiento de flujos para obtener información valiosa. Un flujo de datos consta de una serie de elementos de datos ordenados en el tiempo. Los datos representan un ""evento"" o un cambio de estado que ha ocurrido en la empresa y es útil para que la empresa los conozca y los analice, a menudo en tiempo real."""
"""Reconocimiento / Conciencia de los Datos (Data awareness)""","""Gobierno de Datos""","""Es la visibilidad multidimensional de su almacenamiento. Lo que proporciona inteligencia sobre su contenido, usuarios y actividad."""
"""Aprendizaje Profundo (Deep Learning)""","""Gobierno de Datos""","""Subconjunto del aprendizaje automático donde las redes neuronales artificiales, algoritmos inspirados en el cerebro humano, aprenden de grandes cantidades de datos."""
"""Catalogación de Datos (Data Cataloging)""","""Gobierno de Datos""","""Es el proceso de hacer un inventario organizado de sus datos. Una vez que haya completado su proceso de mapeo de datos, el catálogo de datos es lo que usará para indexar dónde se almacena todo."""
"""Mapeo de Datos (Data Mapping)""","""Gobierno de Datos""","""Es el proceso de hacer coincidir campos de una base de datos con otra. Es el primer paso para facilitar la migración de datos, catalogación de datos, la integración de datos y otras tareas de gestión de datos."""
"""Paisaje de Datos (Data Landscape)""","""Gobierno de Datos""","""Un paisaje o panorama de datos es la representación de los activos de datos de una organización, las opciones de almacenamiento, los sistemas para crear, analizar, procesar y almacenar datos y otras aplicaciones presentes en el entorno de datos de una empresa. Esta información se puede ilustrar dinámica y sistemáticamente mediante una representación semántica
"""
"""Migración de Datos (Data Migration)""","""Gobierno de Datos""","""Es el proceso de mover datos de una ubicación a otra, de un formato a otro o de una aplicación a otra. Generalmente, esto es el resultado de introducir un nuevo sistema o ubicación para los datos."""
"""Hurto/Robo de Datos (Data Theft)""","""Gobierno de Datos""","""El robo de datos es el acto de robar información almacenada en bases de datos, dispositivos y servidores corporativos. Esta forma de robo corporativo es un riesgo significativo para las empresas de todos los tamaños y puede originarse tanto dentro como fuera de una organización."""
"""Enmascaramiento de Datos (Data Masking)""","""Gobierno de Datos""","""Proceso de ocultar elementos de datos en un almacenamiento. Generalmente, se utiliza para proteger un dato que es clasificado como identificador o sensible, sea de índole personal o comercial, pero a pesar de todo, debe permanecer utilizable."""
"""Gestión de Datos (Data Management)""","""Gobierno de Datos""","""Desarrollo y ejecución de arquitecturas, políticas, prácticas y procedimientos que gestionan apropiadamente las necesidades del ciclo de vida completo de los datos de una empresa. Se consideran las siguientes áreas:
Modelado de datos
Limpieza de datos
Administración de base de datos
Almacén de datos
Migración de datos
Minería de datos
Calidad de datos
Seguridad de datos
Gestión de meta-datos
Arquitectura de datos"""
"""Administración de Bases de Datos (Database Management)""","""Gobierno de Datos""","""La gestión de bases de datos se refiere a las acciones que realiza una empresa, un área o una persona para manipular y controlar los datos a fin de cumplir las condiciones necesarias durante todo el ciclo de vida de los datos."""
"""Sistema de Gestión de Bases de Datos (Database Management System o DBMS)""","""Gobierno de Datos""","""Es un software que permite administrar una base de datos. Esto significa que mediante este programa se puede utilizar, configurar y extraer información almacenada​."""
"""Limpieza de Datos (Data Cleansing)""","""Gobierno de Datos""","""Corresponde a la revisión, descubrimiento y corrección o eliminación de registros de datos erróneos de una tabla o base de datos. El proceso de limpieza de datos permite identificar datos incompletos, incorrectos, inexactos, no pertinentes, etc. y luego substituir, modificar o eliminar estos ""datos sucios""."""
